iter	Passed	Remaining
237	1116	3575
238	1121	3571
239	1125	3565
240	1130	3560
241	1135	3555
242	1140	3551
243	1144	3546
244	1149	3542
245	1153	3537
246	1158	3532
247	1163	3528
248	1167	3522
249	1172	3517
250	1176	3512
251	1181	3507
252	1186	3503
253	1191	3498
254	1196	3494
255	1200	3489
256	1205	3484
257	1210	3480
258	1215	3476
259	1219	3471
260	1224	3466
261	1229	3462
262	1233	3457
263	1238	3452
264	1243	3447
265	1247	3443
266	1252	3437
267	1256	3431
268	1261	3427
269	1266	3423
270	1270	3418
271	1275	3414
272	1280	3409
273	1284	3404
274	1290	3401
275	1295	3398
276	1300	3394
277	1304	3388
278	1309	3384
279	1314	3379
280	1318	3374
281	1323	3369
282	1328	3364
283	1332	3359
284	1336	3354
285	1341	3348
286	1346	3344
287	1351	3340
288	1355	3334
289	1360	3329
290	1364	3325
291	1369	3320
292	1374	3315
293	1378	3310
294	1383	3306
295	1388	3301
296	1393	3298
297	1397	3293
298	1402	3289
299	1407	3284
300	1412	3279
301	1417	3275
302	1421	3270
303	1427	3268
304	1431	3262
305	1436	3257
306	1441	3253
307	1445	3248
308	1450	3243
309	1455	3239
310	1460	3234
311	1464	3229
312	1469	3224
313	1473	3220
314	1478	3215
315	1483	3210
316	1488	3206
317	1492	3201
318	1497	3196
319	1502	3192
320	1506	3187
321	1511	3182
322	1516	3177
323	1521	3173
324	1525	3169
325	1530	3164
326	1535	3159
327	1540	3155
328	1544	3150
329	1549	3146
330	1554	3141
331	1559	3137
332	1563	3132
333	1568	3128
334	1573	3123
335	1578	3118
336	1582	3113
337	1587	3109
338	1592	3104
339	1596	3099
340	1601	3094
341	1606	3090
342	1610	3085
343	1615	3080
344	1619	3075
345	1624	3070
346	1629	3066
347	1634	3061
348	1638	3056
349	1642	3051
350	1647	3046
351	1652	3041
352	1657	3037
353	1661	3032
354	1667	3029
355	1672	3025
356	1676	3020
357	1682	3016
358	1686	3011
359	1691	3006
360	1695	3001
361	1700	2996
362	1704	2991
363	1708	2986
364	1713	2981
365	1718	2976
366	1723	2972
367	1727	2967
368	1732	2962
369	1737	2957
370	1741	2952
371	1746	2948
372	1751	2944
373	1756	2939
374	1760	2934
375	1765	2929
376	1770	2925
377	1774	2920
378	1779	2915
379	1784	2910
380	1788	2906
381	1793	2901
382	1798	2896
383	1803	2892
384	1807	2888
385	1812	2883
386	1817	2878
387	1822	2873
388	1826	2869
389	1832	2865
390	1836	2860
391	1841	2855
392	1846	2851
393	1850	2846
394	1855	2841
395	1860	2837
396	1865	2833
397	1869	2828
398	1874	2823
399	1879	2819
400	1883	2814
401	1888	2809
402	1893	2804
403	1897	2799
404	1902	2794
405	1907	2790
406	1911	2785
407	1916	2780
408	1920	2775
409	1925	2771
410	1930	2766
411	1935	2761
412	1940	2757
413	1944	2752
414	1949	2747
415	1954	2743
416	1959	2739
417	1963	2734
418	1968	2729
419	1973	2725
420	1978	2720
421	1983	2716
422	1987	2711
423	1992	2707
424	1997	2702
