iter	RMSE
623	39.47704519
624	39.45634969
625	39.42991365
626	39.41273842
627	39.39005433
628	39.37992274
629	39.35396667
630	39.31063827
631	39.29439868
632	39.24176476
633	39.21918512
634	39.19713459
635	39.17536895
636	39.1469109
637	39.13593186
638	39.11893622
639	39.09315111
640	39.07311437
641	39.04200351
642	39.02530015
643	39.00888418
644	38.98556842
645	38.96538929
646	38.93404299
647	38.90946383
648	38.88462861
649	38.86876085
650	38.85284449
651	38.83141896
652	38.81127523
653	38.7884871
654	38.76281846
655	38.74486597
656	38.71467607
657	38.69837319
658	38.68185596
659	38.65349177
660	38.63746903
661	38.6190991
662	38.6086876
663	38.58488833
664	38.57356412
665	38.54480305
666	38.51300545
667	38.49394558
668	38.47188218
669	38.44438774
670	38.41582998
671	38.39853297
672	38.38080924
673	38.36630101
674	38.33892036
675	38.31107424
676	38.29772848
677	38.2812979
678	38.2558689
679	38.23873464
680	38.20546099
681	38.19685076
682	38.17589235
683	38.13775174
684	38.11727047
685	38.09882843
686	38.0694471
687	38.05393504
688	38.03628674
689	38.00903857
690	37.99253825
691	37.96745219
692	37.95149705
693	37.92718043
694	37.90684264
695	37.88472052
696	37.85970506
697	37.82692019
698	37.80554035
699	37.78248929
700	37.75606046
701	37.74582935
702	37.72920351
703	37.71712722
704	37.71080849
705	37.69923627
706	37.6780386
707	37.65822537
708	37.63411922
709	37.61984403
710	37.60124473
711	37.59238422
712	37.56984515
713	37.54827587
714	37.52704185
715	37.49607807
716	37.47483666
717	37.44854904
718	37.43420737
719	37.41916474
720	37.39030686
721	37.3750755
722	37.35611531
723	37.33406153
724	37.31476614
725	37.28621942
726	37.25759724
727	37.23872882
728	37.21838169
729	37.21141977
730	37.19264723
731	37.17436853
732	37.14164412
733	37.1161289
734	37.09596676
735	37.07394923
736	37.06183894
737	37.02937683
738	37.02262899
739	37.00654558
740	36.99621891
741	36.97019061
742	36.9438159
743	36.9218897
744	36.90523965
745	36.8807794
746	36.86016519
747	36.84528754
748	36.82789476
749	36.80293007
750	36.79272504
751	36.76501665
752	36.74386253
753	36.73020579
754	36.71503555
755	36.70178453
756	36.68798645
757	36.6745907
758	36.66138283
759	36.64517689
760	36.63113739
761	36.61857782
762	36.60325153
763	36.59369894
764	36.58255202
765	36.56109186
766	36.5419513
767	36.52881226
768	36.5103142
769	36.49538774
770	36.4727578
771	36.46385871
772	36.44218036
773	36.41337116
774	36.3890978
775	36.36588278
776	36.34083496
777	36.32249044
778	36.29729551
779	36.27922753
780	36.25334133
781	36.23111504
782	36.20449749
783	36.18240743
784	36.16044825
785	36.14526776
786	36.1298568
787	36.11769454
788	36.10399832
789	36.08155386
790	36.06719537
791	36.05077504
792	36.03035673
793	35.99767999
794	35.98971319
795	35.97268271
796	35.95962373
797	35.9432568
798	35.9360457
799	35.91440771
800	35.89528916
801	35.88073486
802	35.85917367
803	35.84934933
804	35.83598019
805	35.81783264
806	35.80812193
807	35.80233395
808	35.78421908
809	35.75649368
810	35.73821792
811	35.71448612
812	35.69410152
813	35.68637069
814	35.66380381
815	35.64955378
816	35.63815784
817	35.62043702
818	35.60197914
819	35.57722226
820	35.55800899
821	35.53454279
822	35.51428993
823	35.49868594
824	35.47969717
825	35.45959263
826	35.44024796
827	35.41918238
828	35.41035179
829	35.38957619
830	35.37755186
831	35.36060507
832	35.34787522
833	35.32582447
834	35.30715109
835	35.28005574
836	35.26603238
837	35.25556853
838	35.24206724
839	35.22748219
840	35.21584957
841	35.2044246
842	35.18945693
843	35.15586211
844	35.15564518
845	35.13697379
846	35.12136774
847	35.1074956
848	35.08804328
849	35.06002746
850	35.03831314
851	35.0182101
852	35.00195792
853	34.9799292
854	34.96215705
855	34.93696234
856	34.91349854
857	34.90045431
858	34.88721424
859	34.87101641
860	34.84856312
861	34.83398161
862	34.80949291
863	34.78564668
864	34.76993776
865	34.74763111
866	34.72408241
867	34.71543243
868	34.70254477
869	34.68254613
870	34.6698818
871	34.65805646
872	34.64999559
873	34.6379615
874	34.61463958
875	34.59739192
876	34.56502475
877	34.56485245
878	34.53677957
879	34.52822744
880	34.51010992
881	34.48962484
882	34.46094737
883	34.44603164
884	34.43170409
885	34.41723072
886	34.39688353
887	34.36672612
888	34.34463341
889	34.33216067
890	34.31345211
891	34.29546724
892	34.2795603
893	34.2651248
894	34.24137473
895	34.22461125
896	34.19123738
897	34.16940538
898	34.15940395
899	34.12865723
900	34.10927457
901	34.10911803
902	34.10060023
903	34.08128664
904	34.06225887
905	34.04855434
906	34.03084916
907	34.02323258
908	34.00174106
909	33.96933625
910	33.94998665
911	33.93728902
912	33.91369613
913	33.90121337
914	33.87886182
915	33.87165791
916	33.86315192
917	33.83605288
918	33.81432278
919	33.78896568
920	33.77840857
921	33.75224809
922	33.7390474
923	33.72048246
924	33.70187427
925	33.70171256
926	33.68166995
927	33.66659669
928	33.6434216
929	33.62240273
930	33.60508379
931	33.58360184
932	33.58332602
933	33.56987176
934	33.53748976
935	33.51872676
936	33.50749307
937	33.49595602
938	33.46942738
939	33.45651235
940	33.43228935
941	33.410193
942	33.38415741
943	33.37112279
944	33.35913118
945	33.34608801
946	33.32391021
947	33.303635
948	33.28778745
949	33.27566394
950	33.25524381
951	33.23876437
952	33.22200873
953	33.20637046
954	33.19359459
955	33.17783472
956	33.16791767
957	33.15656757
958	33.14002011
959	33.13431832
960	33.11999026
961	33.10662051
962	33.08846272
963	33.06802301
964	33.06690908
965	33.05029429
966	33.03789772
967	33.01749871
968	33.00338932
969	32.9831225
970	32.97063001
971	32.94700137
972	32.93297929
973	32.91822437
974	32.88915755
975	32.88037472
976	32.86100007
977	32.83932664
978	32.82278229
979	32.79245376
980	32.76784886
981	32.74867408
982	32.73683129
983	32.72061788
984	32.69913748
985	32.68528422
986	32.66520338
987	32.65101017
988	32.6397567
989	32.61825478
990	32.60652556
991	32.60000439
992	32.58569156
993	32.56998625
994	32.55451035
995	32.54364664
996	32.52876646
997	32.51112569
998	32.48775858
999	32.47146191
